Row  Column  Power
28  115  4.12511430973
28  135  3.88031752776
28  137  4.00100689605
28  188  4.31138799729
28  189  4.0
28  190  4.0
28  191  4.0
28  192  4.0
28  193  4.0
28  194  4.0
28  195  4.0
28  196  4.0
28  197  4.0
28  198  4.0
28  199  4.0
28  200  4.0
28  201  4.0
28  202  4.0
28  203  4.0
28  204  4.0
28  205  4.0
28  206  4.0
28  207  4.0
28  208  4.0
28  209  4.0
28  279  3.8642630039
28  299  7.0
28  301  4.27321079885
28  323  3.83431062966
28  325  3.77097355433
28  373  4.24761984073
28  376  3.6680450079
28  407  3.48893891277
28  410  3.74608834245
28  422  3.4143899735
28  432  4.1351902843
28  442  3.4502788273
28  452  4.37672087587
28  464  3.54027443316
28  483  3.75015067127
28  484  3.53164609271
28  496  3.79201345148
29  28  3.56927063821
29  51  3.89999381378
29  189  4.0
29  190  4.0
29  191  4.0
29  192  4.0
29  193  4.0
29  194  4.0
29  195  4.0
29  196  4.0
29  197  4.0
29  198  4.0
29  199  4.0
29  200  4.0
29  201  4.0
29  202  4.0
29  203  4.0
29  204  4.0
29  205  4.0
29  206  4.0
29  207  4.0
29  208  4.0
29  209  4.0
29  225  5.89342887207
29  290  4.21063248404
29  299  7.0
29  434  4.69567022144
29  452  3.98381920094
29  460  4.51575496247
29  491  4.05747512013
30  28  4.03311877063
30  43  3.52901382783
30  91  3.7673142963
30  100  3.91432884261
30  109  5.0403160614
30  123  3.50744018665
30  127  7.26325103712
30  186  3.6293499983
30  189  4.0
30  190  4.0
30  191  4.0
30  192  4.0
30  193  4.0
30  194  4.0
30  195  4.0
30  196  4.0
30  197  4.0
30  198  4.0
30  199  4.0
30  200  4.0
30  201  4.0
30  202  4.0
30  203  4.0
30  204  4.0
30  205  4.0
30  206  4.0
30  207  4.0
30  208  4.0
30  209  4.0
30  212  5.51740153845
30  264  3.90739910732
30  275  3.71562479574
30  299  7.0
30  317  4.30020565368
30  328  5.19351034921
30  345  3.62071803398
30  372  3.45006925142
30  399  4.04033424616
30  482  3.42428107787
30  499  6.58430408033
31  33  6.16793671233
31  53  3.43582183575
31  72  4.52719513646
31  83  4.01280764554
31  88  6.23979851209
31  92  3.41139345714
31  182  4.08179601502
31  189  4.0
31  190  4.0
31  191  4.0
31  192  4.0
31  193  4.0
31  194  4.0
31  195  4.0
31  196  4.0
31  197  4.0
31  198  4.0
31  199  4.0
31  200  4.0
31  201  4.0
31  202  4.0
31  203  4.0
31  204  4.0
31  205  4.0
31  206  4.0
31  207  4.0
31  208  4.0
31  209  4.0
31  227  4.0883493362
31  293  3.86750629979
31  299  7.0
31  339  3.75257961921
31  350  3.78385647125
31  396  3.81582663595
31  406  3.88898549841
31  444  4.61153081735
31  451  4.30561109334
31  457  3.67752095984
31  461  3.50995156652
31  494  3.43656927101
32  38  3.94824451996
32  50  3.55192699073
32  84  4.31156413623
32  106  4.57086186646
32  119  4.37242242608
32  164  3.9314914041
32  165  6.96537042515
